ABN AMRO Holding,Netherlands,NULL,Bank
Agricultural Bank of China,China,Beijing,Bank
Albertson's,United States,NULL,Retail
Alcatel,France,NULL,Electrical and electronic
Alibaba,China,Hangzhou,Internet
Allianz,Germany,NULL,Insurance
Allstate,United States,NULL,Insurance
American International Group,United States,NULL,Insurance
Assicurazioni Generali,Italy,NULL,Insurance
AT&T,United States,NULL,Telecommunications
AXA,France,NULL,Insurance
Baidu,China,Beijing,Internet
Bank of America Corp.,United States,NULL,Bank
Bank Of China,China,Beijing,Bank
BASF,Germany,NULL,Chemistry
Berkshire Hathaway,United States,NULL,Insurance
Bilibili,China,Shanghai,Internet
BMW,Germany,NULL,Car
BNP Paribas,France,NULL,Bank
Boeing,United States,NULL,Aerospace
BP,United Kingdom,NULL,Oil refining
BT,United Kingdom,NULL,Telecommunications
Cardinal Health,United States,NULL,Pharmaceutical
Carrefour,France,NULL,Retail
CGNU,United Kingdom,NULL,Insurance
Chengdu AIG,China,Chengdu,Military
Chevron,United States,NULL,Oil refining
China Construction Bank,China,Beijing,Bank
China Electronics Technology Group Corporation,China,Beijing,Electrical and electronic
China Merchants Bank,China,Shenzhen,Bank
China North Industries Group Corporation,China,Beijing,Military
China Petroleum,China,Beijing,Oil refining
Citigroup,United States,NULL,Finance
Compaq Computer,United States,NULL,Computer
Conoco,United States,NULL,Oil refining
Costco Wholesale,United States,NULL,Retail
Credit Suisse,Switzerland,NULL,Bank
Cr我忪dit Agricole,France,NULL,Bank
Dai-ichi Mutual Life Insurance,Japan,NULL,Insurance
DaimlerChrysler,Germany,NULL,Car
Dell Computer,United States,NULL,Computer
Delphi Automotive Systems,United States,NULL,Auto parts
Deutsche Bank,Germany,NULL,Bank
Deutsche Post,Germany,NULL,Postal parcels
Deutsche Telekom,Germany,NULL,Telecommunications
Duke Energy,United States,NULL,Electricity gas
Dynegy,United States,NULL,Energy
E. ON,Germany,NULL,Diversify
E.I. du Pont de Nemours,United States,NULL,Chemistry
Electricite De France,France,NULL,Electricity
ENI,Italy,NULL,Oil refining
Enron,United States,NULL,Energy
Exxon Mobil,United States,NULL,Oil refining
Fannie Mae,United States,NULL,Finance
Fiat,Italy,NULL,Car
Ford Motor,United States,NULL,Car
Fortis,Netherlands/Belgium,NULL,Insurance
France T我忪l我忪com,France,NULL,Telecommunications
Freddie Mac,United States,NULL,Finance
Fujitsu,Japan,NULL,Computer
General Electric,United States,NULL,Electrical and electronic
General Motors,United States,NULL,Car
Goldman Sachs Group,United States,NULL,Securities brokerage
Hewlett-Packard,United States,NULL,Computer
Hitachi,Japan,NULL,Electrical and electronic
Home Depot,United States,NULL,Retail
Honda Motor,Japan,NULL,Car
HSBC Holdings,United Kingdom,NULL,Bank
Huawei,China,Shenzhen,Computer
HypoVereinsbank,Germany,NULL,Bank
Hyundai,Korea,NULL,Diversify
Industrial and Commercial Bank of China,China,Beijing,Bank
Ing Group,Netherlands,NULL,Insurance
Ingram Micro,United States,NULL,Retail
Intel,United States,NULL,Semiconductor
Intl. Business Machines,United States,NULL,Computer
Itochu,Japan,NULL,Diversify
J.C. Penney,United States,NULL,Retail
J.P. Morgan Chase,United States,NULL,Bank
Johnson & Johnson,United States,NULL,Pharmaceutical
Kmart,United States,NULL,Retail
Koninklijke Ahold,Netherlands,NULL,Retail
Kroger,United States,NULL,Retail
L.M. Ericsson,Sweden,NULL,Electrical and electronic
Lucent Technologies,United States,NULL,Electrical and electronic
Marubeni,Japan,NULL,Diversify
Matsushita Electric Industrial,Japan,NULL,Electrical and electronic
McKesson HBOC,United States,NULL,Retail
Meiji Life Insurance,Japan,NULL,Insurance
Meituan,China,Beijing,Internet
Merck,United States,NULL,Pharmaceutical
Merrill Lynch,United States,NULL,Securities brokerage
MetLife,United States,NULL,Insurance
Metro,Germany,NULL,Retail
MiHoYo,China,Shanghai,Game
Mitsubishi,Japan,NULL,Diversify
Mitsubishi Electric,Japan,NULL,Electrical and electronic
Mitsubishi Motors,Japan,NULL,Car
Mitsui,Japan,NULL,Diversify
Mizuho Holdings,Japan,NULL,Bank
Morgan Stanley Dean Witter,United States,NULL,Securities brokerage
Motorola,United States,NULL,Electrical and electronic
Munich Re Group,Germany,NULL,Insurance
NEC,Japan,NULL,Electrical and electronic
Nestl我忪,Switzerland,NULL,Foodstuff
Netease,China,Guangzhou,Internet
Nippon Life Insurance,Japan,NULL,Insurance
Nippon Telegraph & Telephone,Japan,NULL,Telecommunications
Nissan Motor,Japan,NULL,Car
Nissho Iwai,Japan,NULL,Diversify
Nortel Networks,Canada,NULL,Electrical and electronic
OPPO,China,Dongguan,Computer
PDVSA,Venezuela,NULL,Oil refining
Pemex,Mexico,NULL,Crude
Peugeot,France,NULL,Car
Pfizer,United States,NULL,Pharmaceutical
Philip Morris,United States,NULL,Food tobacco
Pinduoduo,China,Shanghai,Internet
Ping An Insurance (Group) Company Of China,China,Shenzhen,Insurance
Procter & Gamble,United States,NULL,Household chemicals
Prudential,United Kingdom,NULL,Insurance
Reliant Energy,United States,NULL,Electricity and gas utilities
Renault,France,NULL,Car
Repsol YPF,Spain,NULL,Oil refining
Robert Bosch,Germany,NULL,Electrical and electronic
Royal Bank of Scotland,United Kingdom,NULL,Bank
Royal Dutch/Shell Group,Netherlands/United Kingdom,NULL,Oil refining
Royal Philips Electronics,Netherlands,NULL,Electrical and electronic
Rwe Group,Germany,NULL,Electricity gas
Safeway,United States,NULL,Retail
Samsung,Korea,NULL,Diversify
Samsung Electronics,Korea,NULL,Electrical and electronic
Santander Central Hispano Group,Spain,NULL,Bank
SBC Communications,United States,NULL,Telecommunications
Sears Roebuck,United States,NULL,Retail
Siemens,Germany,NULL,Electrical and electronic
Sina,China,Beijing,Internet
Sinopec,China,Beijing,Petrochemical
SK,Korea,NULL,Oil refining
Sony,Japan,NULL,Electrical and electronic
State Farm Insurance Cos.,United States,NULL,Insurance
State Power Corporation,China,Beijing,Electricity
Suez,France,NULL,Water
Sumitomo,Japan,NULL,Diversify
Sumitomo Life Insurance,Japan,NULL,Insurance
Target,United States,NULL,Retail
Tencent,China,Shenzhen,Internet
Tesco,United Kingdom,NULL,Retail
Texaco,United States,NULL,Oil refining
Thyssen Krupp,Germany,NULL,Industrial and agricultural equipment
TIAA-CREF,United States,NULL,Insurance
Tokyo Electric Power,Japan,NULL,Electricity gas
Toshiba,Japan,NULL,Electrical and electronic
Total Fina Elf,France,NULL,Oil refining
Toyota Motor,Japan,NULL,Car
U.S. Postal Service,United States,NULL,Postal parcels
UBS,Switzerland,NULL,Bank
Unilever,Netherlands/United Kingdom,NULL,Foodstuff
United Parcel Service,United States,NULL,Postal parcels
USX,United States,NULL,Oil refining
Verizon Communications,United States,NULL,Telecommunications
Vivendi Universal,France,NULL,Amusement
Volkswagen,Germany,NULL,Car
Wal-Mart Stores,United States,NULL,Retail
WorldCom,United States,NULL,Telecommunications
Xiaomi,China,Beijing,Computer
Zurich Financial Services,Switzerland,NULL,Insurance
